CaseNumber,AccountId,AssetId,Comments,ContactId,Description,EngineeringReqNumber__c,Origin,OwnerId,PotentialLiability__c,Priority,Product__c,Reason,SLAViolation__c,Status,Subject,SuppliedCompany,SuppliedEmail,SuppliedName,SuppliedPhone,Type
00001055,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Rock,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001054,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,DriveThru,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Water
00001053,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,DriveThru,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Water
00001052,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Rock,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001051,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,DriveThru,005Ox00000KYqa9IAD,Yes,High,GC5060,Installation,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Water
00001050,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Rock,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Breakdown,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001049,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,DriveThru,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001048,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Rock,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Water wiring installation for GC5060,,,,,Water
00001047,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,DriveThru,005Ox00000KYqa9IAD,Yes,High,GC1060,Breakdown,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Water
00001046,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Breakdown,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001045,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001044,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001043,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Breakdown,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001042,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Poor Documentaion,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001041,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001040,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001039,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001038,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001037,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001036,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001035,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001034,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001033,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001032,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Tin Roof Rusted,Yes,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed
00001031,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Text,005Ox00000KYqa9IAD,Yes,Low,GC3060,Installation,Yes,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed
00001030,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural
00001029,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Text,005Ox00000KYqa9IAD,Yes,Medium,GC5060,Tin Roof Rusted,Yes,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001028,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,Yes,High,GC5060,Bad News Bees,Yes,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed
00001027,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Text,005Ox00000KYqa9IAD,Yes,Low,GC3040,Equipment Design,Yes,Working,Design issue with mechanical rotor,,,,,Mechanical
00001026,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,Yes,Medium,GC5040,Equipment Design,Yes,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed
00001025,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,572546,Phone,005Ox00000KYqa9IAD,No,Medium,GC5040,Equipment Design,No,Closed,Motor design hindering performance,,,,,Electrical
00001024,001Ox00000lROCwIAO,,,003Ox00000k5O8zIAE,,868314,Web,005Ox00000KYqa9IAD,No,Low,GC3040,Equipment Design,No,New,Design issue with mechanical rotor,,,,,Mechanical
00001023,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,265794,Phone,005Ox00000KYqa9IAD,No,High,GC5060,Other,No,Closed,Electric surge damaging adjacent equipment,,,,,Electrical
00001022,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,456345,Web,005Ox00000KYqa9IAD,No,Medium,GC5060,Performance,No,Closed,Signal panel on GC5060 blinks intermittently,,,,,Electronic
00001021,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,435143,Phone,005Ox00000KYqa9IAD,Yes,High,GC3060,Installations,,Closed,Generator GC3060 platform structure is weakening,,,,,Structural
00001002,001Ox00000lROCwIAO,,,003Ox00000k5O8yIAE,,,Web,005Ox00000KYqa9IAD,No,Low,GC3060,Installation,No,New,Seeking guidance on electrical wiring installation for GC5060,,,,,Electrical
00001001,001Ox00000lROCwIAO,,,003Ox00000k5O98IAE,,767145,Phone,005Ox00000KYqa9IAD,Yes,High,GC1060,Performance,Yes,Closed,Performance inadequate for second consecutive week,,,,,Electrical
