Contact.External_Id__c,Account.External_Id__c,External_id__c,Comments,Description,Origin,Priority,Reason,Status,Subject,SuppliedCompany,SuppliedEmail,SuppliedName,SuppliedPhone,Type,SLAViolation__c,PotentialLiability__c,credit_amt__c
EX-0001007,EX-0001005,EX-0001126,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001125,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001124,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001123,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001122,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001121,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001120,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001119,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001118,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001117,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001116,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001115,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001114,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001007,EX-0001005,EX-0001113,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,33
EX-0001007,EX-0001005,EX-0001112,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001111,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001110,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001109,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001108,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001107,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001106,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001105,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001104,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001103,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001102,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001101,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001100,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001007,EX-0001005,EX-0001099,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,50
EX-0001007,EX-0001005,EX-0001098,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001097,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001096,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001095,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001094,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001093,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001092,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001091,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001090,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001089,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001088,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001087,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001086,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001007,EX-0001005,EX-0001085,,,Phone,High,Poor Documentaion,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001084,,,Text,Medium,Breakdown,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001083,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001082,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001081,,,Phone,High,Breakdown,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001080,,,DriveThru,High,Breakdown,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Water,Yes,Yes,
EX-0001007,EX-0001005,EX-0001079,,,Rock,Low,Installation,Working,Seeking guidance on Water wiring installation for GC5060,,,,,Water,Yes,Yes,
EX-0001007,EX-0001005,EX-0001078,,,DriveThru,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001077,,,Rock,Medium,Breakdown,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001076,,,DriveThru,High,Installation,Escalated,Electric surge damaging adjacent equipment,,,,,Water,Yes,Yes,
EX-0001008,EX-0001005,EX-0001075,,,Rock,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001074,,,DriveThru,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Water,Yes,Yes,
EX-0001008,EX-0001005,EX-0001073,,,DriveThru,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Water,Yes,Yes,
EX-0001008,EX-0001005,EX-0001072,,,Rock,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001007,EX-0001005,EX-0001071,,,DriveThru,High,Installation,Escalated,Electric surge damaging adjacent equipment,,,,,Water,Yes,Yes,
EX-0001007,EX-0001005,EX-0001070,,,Rock,Medium,Breakdown,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001069,,,DriveThru,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001068,,,Rock,Low,Installation,Working,Seeking guidance on Water wiring installation for GC5060,,,,,Water,Yes,Yes,
EX-0001017,EX-0001005,EX-0001067,,,DriveThru,High,Breakdown,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Water,Yes,Yes,
EX-0001017,EX-0001005,EX-0001032,,,Phone,High,Breakdown,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001031,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001030,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001029,,,Text,Medium,Breakdown,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001028,,,Phone,High,Poor Documentaion,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001027,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001026,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001046,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,500
EX-0001008,EX-0001005,EX-0001045,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001007,EX-0001005,EX-0001044,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001043,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001042,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001041,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001040,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001017,EX-0001005,EX-0001039,,,Phone,High,Tin Roof Rusted,Escalated,Tin Roof Rusted inadequate for second consecutive week,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001038,,,Text,Low,Installation,Working,Seeking guidance on Crushed wiring installation for GC5060,,,,,Crushed,Yes,Yes,
EX-0001007,EX-0001005,EX-0001037,,,Phone,High,Installations,Escalated,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,
EX-0001007,EX-0001005,EX-0001036,,,Text,Medium,Tin Roof Rusted,Escalated,Signal panel on GC5060 blinks intermittently,,,,,Electronic,Yes,Yes,
EX-0001007,EX-0001005,EX-0001035,,,Phone,High,Bad News Bees,Escalated,Electric surge damaging adjacent equipment,,,,,Crushed,Yes,Yes,100
EX-0001008,EX-0001005,EX-0001034,,,Text,Low,Equipment Design,Working,Design issue with mechanical rotor,,,,,Mechanical,Yes,Yes,
EX-0001008,EX-0001005,EX-0001033,,,Phone,Medium,Equipment Design,Escalated,Motor design hindering Tin Roof Rusted,,,,,Crushed,Yes,Yes,
EX-0001008,EX-0001005,EX-0001025,,,Phone,Medium,Equipment Design,Closed,Motor design hindering performance,,,,,Electrical,No,No,
EX-0001008,EX-0001005,EX-0001024,,,Web,Low,Equipment Design,New,Design issue with mechanical rotor,,,,,Mechanical,No,No,
EX-0001007,EX-0001005,EX-0001023,,,Phone,High,Other,Closed,Electric surge damaging adjacent equipment,,,,,Electrical,No,No,20
EX-0001007,EX-0001005,EX-0001022,,,Web,Medium,Performance,Closed,Signal panel on GC5060 blinks intermittently,,,,,Electronic,No,No,10
EX-0001007,EX-0001005,EX-0001021,,,Phone,High,Installations,Closed,Generator GC3060 platform structure is weakening,,,,,Structural,,Yes,200
EX-0001002,EX-0001001,EX-0001020,,,Phone,Medium,Performance,Closed,Power generation below stated level,,,,,Electrical,No,Yes,
EX-0001002,EX-0001001,EX-0001019,,,Web,High,Equipment Design,Closed,Structural failure of generator base,,,,,Structural,No,Yes,
EX-0001001,EX-0001000,EX-0001018,,,Phone,Medium,Equipment Complexity,Closed,Cannot start generator after electrical failure,,,,,Electrical,No,No,
EX-0001001,EX-0001000,EX-0001017,,,Web,Medium,Equipment Complexity,Closed,Shutting down of generator,,,,,Mechanical,No,No,
EX-0001016,EX-0001010,EX-0001016,,,Web,Low,Feedback,New,Maintenance guidelines for generator unclear,,,,,Other,No,No,
EX-0001015,EX-0001009,EX-0001015,,,Web,Medium,Breakdown,Closed,Frequent mechanical breakdown,,,,,Mechanical,No,Yes,
EX-0001006,EX-0001004,EX-0001014,,,Phone,High,Installation,Closed,Delay in installation; spare parts unavailable,,,,,Other,No,Yes,
EX-0001006,EX-0001004,EX-0001013,,,Web,Medium,Equipment Design,Closed,Starting up generator consumes excessive power,,,,,Other,No,No,
EX-0001011,EX-0001007,EX-0001012,,,Web,Medium,Breakdown,Closed,Repeated motor breakdown while shutting off,,,,,Electrical,Yes,Yes,
EX-0001015,EX-0001009,EX-0001011,,,Web,Medium,Equipment Design,Closed,Electronic panel fitting loose,,,,,Electronic,No,No,
EX-0001014,EX-0001009,EX-0001010,,,Web,Low,Feedback,Closed,Maintenance guidelines for generator unclear,,,,,Other,No,No,
EX-0001013,EX-0001008,EX-0001009,,,Phone,Medium,Other,Closed,Mechanical maintenance guidelines for generator misleading,,,,,Mechanical,No,Yes,
EX-0001005,EX-0001004,EX-0001008,,,Web,Low,Feedback,Closed,Customer service for portable generators needs beefing up,,,,,Other,No,No,
EX-0001005,EX-0001004,EX-0001007,,,Phone,Medium,Breakdown,Closed,Structural breakdown of rotor assembly,,,,,Structural,No,No,
EX-0001016,EX-0001010,EX-0001006,,,Phone,Low,Feedback,Closed,Generator assembly instructions unclear,,,,,Other,No,No,
EX-0001010,EX-0001006,EX-0001005,,,Phone,Medium,Performance,Closed,Electrical circuit malfunctioning,,,,,Electrical,No,Yes,
EX-0001009,EX-0001006,EX-0001004,,,Phone,Medium,Other,Closed,Maintenance guidelines for generator unclear,,,,,Other,No,No,
EX-0001009,EX-0001006,EX-0001003,,,Web,Low,Installation,Closed,Easy installation process,,,,,Other,No,No,
EX-0001007,EX-0001005,EX-0001002,,,Web,Low,Installation,New,Seeking guidance on electrical wiring installation for GC5060,,,,,Electrical,No,No,100
EX-0001017,EX-0001005,EX-0001001,,,Phone,High,Performance,Closed,Performance inadequate for second consecutive week,,,,,Electrical,Yes,Yes,330
EX-0001000,EX-0001000,EX-0001000,,,Phone,High,Equipment Complexity,Closed,Starting generator after electrical failure,,,,,Electrical,No,No,
